Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude
Megalampitta gigantea,Melampittidae,Passeriformes,36.6,8.3,12.9,52.8,129.0,15.0,113.5,205.0,Forest,Carnivore,Invertivore,Terrestrial,1.0,8372.65,-10.3,-1.29,142.83,-6.59
Melampitta lugubris,Melampittidae,Passeriformes,20.9,4.0,5.7,38.1,83.0,6.4,59.8,42.7,Forest,Carnivore,Invertivore,Terrestrial,1.0,59306.62,-9.9,-0.94,143.21,-5.84
Melanocharis arfakiana,Melanocharitidae,Passeriformes,12.5,3.8,4.1,16.2,58.5,13.8,40.0,11.5,Forest,Omnivore,Frugivore,Insessorial,1.0,9004.63,-9.6,-4.6,144.33,-6.65
Melanocharis longicauda,Melanocharitidae,Passeriformes,13.0,3.7,4.1,17.0,67.4,20.2,56.8,12.0,Forest,Omnivore,Frugivore,Insessorial,1.0,100278.19,-10.35,-0.41,142.14,-5.28
Melanocharis nigra,Melanocharitidae,Passeriformes,13.7,3.6,4.1,15.6,62.2,18.3,43.1,14.2,Forest,Omnivore,Frugivore,Insessorial,1.0,458523.98,-10.72,0.04,141.61,-5.14
Melanocharis striativentris,Melanocharitidae,Passeriformes,13.9,4.0,5.0,19.9,70.6,18.5,57.0,17.6,Forest,Omnivore,Frugivore,Insessorial,1.0,86837.53,-10.09,-3.7,143.91,-6.08
Melanocharis versteri,Melanocharitidae,Passeriformes,12.4,3.6,4.0,21.9,64.0,15.1,72.2,14.7,Forest,Omnivore,Frugivore,Insessorial,1.0,148463.41,-10.17,-0.51,141.37,-5.04
Oedistoma iliolophus,Melanocharitidae,Passeriformes,19.2,3.4,3.2,18.2,60.2,17.0,32.1,11.0,Forest,Omnivore,Omnivore,Insessorial,1.0,557431.76,-10.73,0.04,141.69,-5.23
Oedistoma pygmaeum,Melanocharitidae,Passeriformes,12.3,2.5,2.5,12.7,45.8,12.2,23.9,5.8,Forest,Omnivore,Omnivore,Insessorial,1.0,595536.97,-10.73,0.04,141.05,-5.35
Rhamphocharis crassirostris,Melanocharitidae,Passeriformes,18.9,3.9,3.9,18.6,69.5,21.5,52.6,18.0,Forest,Omnivore,Frugivore,Insessorial,1.0,34344.01,-5.61,-0.38,137.92,-3.36
Rhamphocharis piperata,Melanocharitidae,Passeriformes,18.9,3.9,3.9,18.6,69.5,21.5,52.6,18.0,Forest,Omnivore,Frugivore,Insessorial,1.0,84608.99,-10.27,-4.69,145.48,-6.82
Toxorhamphus novaeguineae,Melanocharitidae,Passeriformes,28.2,4.1,3.9,16.0,64.0,18.4,38.3,11.8,Forest,Omnivore,Omnivore,Insessorial,1.0,463594.81,-8.84,-0.01,139.06,-4.29
Toxorhamphus poliopterus,Melanocharitidae,Passeriformes,30.9,3.7,3.8,18.0,66.4,19.4,37.4,11.4,Forest,Omnivore,Omnivore,Insessorial,1.0,179355.79,-10.56,-3.0,142.61,-5.71
Melanopareia elegans,Melanopareiidae,Passeriformes,17.0,3.4,3.6,25.9,53.1,4.7,57.9,16.0,Woodland,Carnivore,Invertivore,Terrestrial,1.0,81037.63,-7.99,0.08,-79.89,-4.01
Melanopareia maranonica,Melanopareiidae,Passeriformes,17.3,3.7,3.9,25.9,58.9,8.3,72.8,23.0,Woodland,Carnivore,Invertivore,Terrestrial,1.0,10057.19,-6.02,-4.74,-78.9,-5.4
Melanopareia maximiliani,Melanopareiidae,Passeriformes,14.3,3.1,3.4,22.0,52.1,6.7,72.3,18.0,Woodland,Carnivore,Invertivore,Terrestrial,1.0,752374.15,-32.61,-15.68,-61.98,-25.02
Melanopareia torquata,Melanopareiidae,Passeriformes,12.4,3.3,3.7,20.0,51.5,8.6,59.9,17.2,Woodland,Carnivore,Invertivore,Terrestrial,1.0,2770968.6,-24.31,-6.67,-50.7,-14.6
Acanthagenys rufogularis,Meliphagidae,Passeriformes,25.7,3.7,5.0,25.1,111.1,23.2,111.4,47.8,Shrubland,Omnivore,Omnivore,Insessorial,1.0,5976565.2,-38.86,-16.14,133.98,-27.1
Acanthorhynchus superciliosus,Meliphagidae,Passeriformes,23.6,2.3,2.8,19.9,61.3,15.9,54.3,9.7,Shrubland,Herbivore,Nectarivore,Insessorial,1.0,182218.54,-35.14,-28.9,117.85,-32.88
Acanthorhynchus tenuirostris,Meliphagidae,Passeriformes,26.8,2.3,2.7,18.0,65.6,20.6,57.1,10.4,Forest,Omnivore,Nectarivore,Insessorial,1.0,763502.74,-43.64,-15.0,147.62,-33.06
Anthochaera carunculata,Meliphagidae,Passeriformes,32.3,4.8,6.1,34.1,154.5,25.6,163.2,106.1,Forest,Herbivore,Nectarivore,Insessorial,2.0,2173024.9,-39.49,-26.2,134.25,-32.09
Anthochaera chrysoptera,Meliphagidae,Passeriformes,29.1,4.3,5.9,27.4,129.2,19.8,139.5,67.8,Forest,Herbivore,Nectarivore,Insessorial,1.0,671226.2,-43.64,-24.0,146.85,-34.64
Anthochaera lunulata,Meliphagidae,Passeriformes,32.2,4.1,5.5,26.5,122.1,20.6,135.9,61.8,Shrubland,Herbivore,Nectarivore,Insessorial,1.0,237097.58,-35.19,-28.55,117.94,-32.52
Anthochaera paradoxa,Meliphagidae,Passeriformes,31.9,5.0,6.4,40.2,179.7,23.2,233.6,143.7,Forest,Herbivore,Nectarivore,Insessorial,2.0,46805.04,-43.6,-39.58,146.9,-41.86
Anthochaera phrygia,Meliphagidae,Passeriformes,21.6,3.3,4.4,22.2,110.1,26.6,97.2,40.0,Forest,Herbivore,Omnivore,Insessorial,2.0,8643.74,-36.73,-30.58,148.6,-34.17
Anthornis melanura,Meliphagidae,Passeriformes,20.1,3.0,3.9,25.9,86.4,19.1,80.3,26.9,Forest,Herbivore,Nectarivore,Insessorial,1.0,212871.76,-50.93,-34.13,172.67,-41.93
Ashbyia lovensis,Meliphagidae,Passeriformes,13.9,3.1,3.6,20.6,74.3,21.0,39.7,17.5,Desert,Carnivore,Invertivore,Terrestrial,2.0,103581.31,-28.94,-23.89,138.61,-26.61
Bolemoreus frenatus,Meliphagidae,Passeriformes,25.8,3.4,4.8,24.2,99.7,19.6,83.6,34.1,Forest,Omnivore,Omnivore,Insessorial,1.0,58164.64,-19.97,-15.0,145.62,-17.76
Bolemoreus hindwoodi,Meliphagidae,Passeriformes,20.2,2.9,4.0,20.6,85.8,19.6,69.2,22.9,Forest,Herbivore,Omnivore,Insessorial,1.0,933.44,-21.28,-20.87,148.51,-21.09
Caligavis chrysops,Meliphagidae,Passeriformes,16.5,2.6,3.3,18.2,78.1,19.5,67.1,17.3,Forest,Herbivore,Omnivore,Insessorial,3.0,1457474.72,-39.68,-15.09,146.69,-30.25
Caligavis obscura,Meliphagidae,Passeriformes,25.6,3.1,4.3,23.5,86.7,15.8,71.9,26.4,Forest,Herbivore,Omnivore,Insessorial,1.0,173670.69,-10.23,-0.4,140.19,-4.19
Caligavis subfrenata,Meliphagidae,Passeriformes,25.0,3.1,4.3,24.0,95.8,17.7,87.0,29.7,Forest,Omnivore,Omnivore,Insessorial,1.0,132670.15,-10.09,-0.89,142.02,-5.35
Certhionyx variegatus,Meliphagidae,Passeriformes,20.1,3.3,3.4,20.9,84.8,27.4,63.1,26.3,Shrubland,Herbivore,Nectarivore,Insessorial,2.0,5122091.98,-38.49,-17.43,131.9,-26.46
Cissomela pectoralis,Meliphagidae,Passeriformes,16.1,2.3,2.8,16.4,67.2,21.0,42.1,10.1,Grassland,Herbivore,Nectarivore,Insessorial,1.0,1086177.68,-20.93,-10.69,134.91,-16.0
Conopophila albogularis,Meliphagidae,Passeriformes,14.4,2.8,3.0,18.5,65.9,18.8,43.7,11.8,Forest,Omnivore,Invertivore,Insessorial,1.0,496534.41,-17.77,-0.74,138.16,-11.23
Conopophila rufogularis,Meliphagidae,Passeriformes,13.3,2.6,2.9,18.1,69.8,18.8,44.3,10.8,Woodland,Omnivore,Invertivore,Insessorial,1.0,1954135.97,-25.15,-11.02,136.15,-18.08
Conopophila whitei,Meliphagidae,Passeriformes,11.5,2.5,2.8,16.1,61.9,16.5,42.1,9.8,Woodland,Carnivore,Invertivore,Insessorial,2.0,1437139.32,-30.34,-19.31,126.52,-24.43
Entomyzon albipennis,Meliphagidae,Passeriformes,35.9,5.3,7.3,31.9,152.0,25.7,115.2,105.3,Forest,Omnivore,Omnivore,Insessorial,1.0,733514.59,-19.16,-10.9,131.57,-15.59
Entomyzon cyanotis,Meliphagidae,Passeriformes,32.9,5.1,7.1,31.9,150.5,25.7,121.6,105.3,Forest,Omnivore,Omnivore,Insessorial,1.0,2004063.99,-38.83,-8.61,146.46,-27.2
Epthianura albifrons,Meliphagidae,Passeriformes,12.7,2.4,2.6,19.0,70.4,22.9,42.1,13.3,Wetland,Carnivore,Invertivore,Generalist,1.0,2667021.56,-43.64,-23.02,134.03,-31.77
Epthianura aurifrons,Meliphagidae,Passeriformes,12.7,2.5,2.5,18.1,62.8,20.5,36.8,10.5,Shrubland,Carnivore,Invertivore,Generalist,1.0,5609912.51,-38.66,-15.96,133.05,-26.01
Epthianura crocea,Meliphagidae,Passeriformes,13.2,2.6,2.7,17.7,59.1,17.1,38.4,9.3,Wetland,Carnivore,Invertivore,Generalist,1.0,2179684.97,-30.24,-11.99,135.58,-21.11
Epthianura tricolor,Meliphagidae,Passeriformes,13.6,2.5,2.6,18.2,66.2,24.6,39.2,10.7,Shrubland,Carnivore,Invertivore,Generalist,1.0,1741451.32,-36.47,-19.82,133.81,-27.37
Foulehaio carunculatus,Meliphagidae,Passeriformes,27.0,3.6,4.4,30.7,99.5,18.6,81.0,37.0,Forest,Herbivore,Omnivore,Insessorial,1.0,4217.23,-21.46,-13.21,-173.26,-15.11
Foulehaio procerior,Meliphagidae,Passeriformes,27.0,3.6,4.4,30.7,84.2,18.6,81.0,37.0,Forest,Herbivore,Omnivore,Insessorial,1.0,11243.36,-19.2,-16.7,177.0,-17.83
Foulehaio taviunensis,Meliphagidae,Passeriformes,27.0,3.6,4.4,30.7,84.2,18.6,81.0,37.0,Forest,Herbivore,Omnivore,Insessorial,1.0,6176.31,-17.11,-15.71,153.51,-16.62
Gavicalis fasciogularis,Meliphagidae,Passeriformes,20.6,3.1,4.2,25.1,91.4,15.9,80.4,26.8,Woodland,Omnivore,Omnivore,Insessorial,1.0,43256.67,-31.0,-18.0,150.69,-23.85
Gavicalis versicolor,Meliphagidae,Passeriformes,25.0,3.6,4.7,25.0,99.9,17.0,84.5,36.7,Woodland,Omnivore,Omnivore,Insessorial,1.0,161900.97,-19.5,0.04,142.88,-10.51
Gavicalis virescens,Meliphagidae,Passeriformes,19.6,3.1,3.9,22.6,90.9,18.2,81.2,23.3,Shrubland,Omnivore,Invertivore,Insessorial,1.0,7306702.44,-38.86,-11.12,133.91,-25.8
Gliciphila melanops,Meliphagidae,Passeriformes,21.3,2.7,3.5,21.2,78.8,23.9,66.2,18.2,Shrubland,Omnivore,Nectarivore,Insessorial,1.0,1135955.29,-43.64,-26.9,134.98,-34.12
Gliciphila notabilis,Meliphagidae,Passeriformes,31.3,3.5,4.2,26.5,85.9,19.7,73.7,27.1,Forest,Omnivore,Omnivore,Insessorial,1.0,8862.87,-16.85,-13.48,167.36,-15.61
Gliciphila undulata,Meliphagidae,Passeriformes,29.3,3.4,3.7,25.3,86.8,19.9,79.7,16.0,Forest,Omnivore,Omnivore,Insessorial,1.0,16533.98,-22.47,-20.01,165.48,-21.33
Glycichaera fallax,Meliphagidae,Passeriformes,14.5,2.6,2.9,16.6,59.5,11.9,40.8,11.2,Forest,Carnivore,Invertivore,Insessorial,1.0,604148.57,-14.32,-0.24,141.21,-5.56
Grantiella picta,Meliphagidae,Passeriformes,16.9,3.4,3.9,17.4,87.0,34.6,51.9,21.5,Woodland,Herbivore,Omnivore,Insessorial,3.0,374029.06,-38.45,-23.36,147.08,-33.42
Guadalcanaria inexpectata,Meliphagidae,Passeriformes,30.2,3.6,4.7,26.8,101.0,16.8,89.0,43.3,Forest,Omnivore,Omnivore,Insessorial,1.0,624.03,-9.86,-9.6,160.19,-9.72
Gymnomyza aubryana,Meliphagidae,Passeriformes,49.9,6.1,10.1,50.8,175.2,17.9,179.1,195.1,Forest,Omnivore,Omnivore,Insessorial,1.0,1055.98,-22.19,-20.33,165.82,-21.47
Gymnomyza brunneirostris,Meliphagidae,Passeriformes,39.4,5.2,6.2,37.8,123.0,18.1,119.5,87.8,Forest,Omnivore,Omnivore,Insessorial,1.0,10448.85,-18.27,-17.31,177.97,-17.83
Gymnomyza samoensis,Meliphagidae,Passeriformes,41.9,5.3,7.0,39.3,135.8,18.0,131.0,99.0,Forest,Herbivore,Omnivore,Insessorial,1.0,1528.38,-14.03,-13.49,-172.18,-13.73
Gymnomyza viridis,Meliphagidae,Passeriformes,41.4,4.6,5.2,34.2,116.5,20.2,106.0,87.8,Forest,Omnivore,Omnivore,Insessorial,1.0,5433.59,-17.01,-16.15,159.08,-16.62
Lichenostomus cratitius,Meliphagidae,Passeriformes,19.1,2.6,3.8,21.7,82.7,19.7,75.0,20.3,Woodland,Omnivore,Omnivore,Insessorial,1.0,479802.48,-37.25,-30.97,132.15,-33.98
Lichenostomus melanops,Meliphagidae,Passeriformes,18.7,3.0,4.1,21.7,84.5,19.6,82.0,32.3,Forest,Omnivore,Omnivore,Insessorial,2.0,732848.75,-39.15,-23.02,148.68,-31.75
Lichmera alboauricularis,Meliphagidae,Passeriformes,20.8,2.5,3.3,18.2,69.6,15.9,55.4,13.3,Shrubland,Omnivore,Nectarivore,Insessorial,1.0,76151.28,-10.73,-1.47,142.63,-4.94
Lichmera argentauris,Meliphagidae,Passeriformes,18.8,2.6,3.5,17.5,67.0,22.6,53.5,14.0,Woodland,Herbivore,Nectarivore,Insessorial,1.0,8366.81,-3.56,2.23,129.21,-0.66
Lichmera deningeri,Meliphagidae,Passeriformes,22.2,3.0,3.9,19.1,77.0,19.4,64.0,16.6,Forest,Herbivore,Nectarivore,Insessorial,1.0,8554.41,-3.84,-3.05,126.63,-3.42
Lichmera flavicans,Meliphagidae,Passeriformes,19.4,2.7,3.4,18.6,68.7,17.6,64.0,14.2,Forest,Herbivore,Nectarivore,Insessorial,1.0,25012.06,-10.33,-8.33,125.12,-9.21
Lichmera incana,Meliphagidae,Passeriformes,23.2,3.1,3.7,20.5,73.0,17.6,62.6,13.1,Forest,Herbivore,Nectarivore,Insessorial,1.0,24110.3,-22.71,-15.88,166.23,-20.41
Lichmera indistincta,Meliphagidae,Passeriformes,18.8,2.4,3.2,17.1,66.8,16.9,52.7,11.2,Woodland,Herbivore,Nectarivore,Insessorial,1.0,5351801.88,-35.21,-5.32,133.4,-23.0
Lichmera lombokia,Meliphagidae,Passeriformes,22.7,2.9,3.7,19.5,65.5,13.6,52.4,15.3,Forest,Herbivore,Nectarivore,Insessorial,1.0,8705.54,-8.96,-8.13,118.82,-8.6
Lichmera monticola,Meliphagidae,Passeriformes,25.0,2.7,3.9,20.0,73.9,20.5,65.0,6.0,Forest,Herbivore,Nectarivore,Insessorial,1.0,3713.67,-3.39,-2.88,129.1,-3.11
Lichmera notabilis,Meliphagidae,Passeriformes,20.2,2.9,3.3,19.2,72.5,18.6,63.0,11.5,Forest,Herbivore,Nectarivore,Insessorial,1.0,2638.29,-8.02,-7.56,126.3,-7.78
Lichmera squamata,Meliphagidae,Passeriformes,21.3,3.0,3.7,21.1,68.3,16.9,56.9,14.5,Forest,Omnivore,Nectarivore,Insessorial,1.0,9998.94,-8.35,-5.27,129.75,-7.45
Macgregoria pulchra,Meliphagidae,Passeriformes,34.3,5.8,8.0,58.6,190.6,9.6,154.9,225.1,Forest,Herbivore,Frugivore,Insessorial,1.0,4664.33,-8.97,-3.81,140.85,-5.3
Manorina flavigula,Meliphagidae,Passeriformes,25.7,3.9,5.3,29.8,126.6,22.6,104.1,55.9,Woodland,Carnivore,Invertivore,Insessorial,1.0,6815495.21,-36.8,-10.9,133.02,-25.2
Manorina melanocephala,Meliphagidae,Passeriformes,24.3,4.1,5.6,30.7,136.1,24.8,121.3,60.2,Woodland,Omnivore,Omnivore,Insessorial,1.0,2065246.62,-43.58,-12.75,146.36,-29.23
Manorina melanophrys,Meliphagidae,Passeriformes,17.1,3.0,4.9,22.1,94.6,19.9,81.3,30.4,Forest,Carnivore,Invertivore,Insessorial,1.0,317354.76,-39.15,-25.73,150.17,-32.98
Manorina melanotis,Meliphagidae,Passeriformes,25.5,4.2,4.9,26.9,122.1,22.5,107.8,54.0,Woodland,Carnivore,Invertivore,Insessorial,1.0,1748.04,-35.1,-33.17,140.6,-33.56
Meliarchus sclateri,Meliphagidae,Passeriformes,38.0,4.7,6.8,34.0,124.2,15.6,105.4,66.8,Forest,Omnivore,Invertivore,Insessorial,2.0,3338.04,-10.85,-10.17,161.81,-10.55
Melidectes belfordi,Meliphagidae,Passeriformes,37.0,4.7,5.8,33.4,137.5,21.8,118.0,73.1,Forest,Omnivore,Invertivore,Insessorial,1.0,124314.41,-10.09,-3.11,142.18,-5.51
Melidectes foersteri,Meliphagidae,Passeriformes,35.6,4.7,5.7,36.5,155.5,26.4,132.8,85.0,Forest,Omnivore,Omnivore,Insessorial,1.0,6152.62,-6.54,-5.69,146.76,-6.12
Melidectes fuscus,Meliphagidae,Passeriformes,29.2,3.9,4.5,32.1,105.7,20.1,106.4,45.0,Forest,Omnivore,Omnivore,Insessorial,1.0,70507.07,-9.5,-3.36,141.24,-5.16
Melidectes leucostephes,Meliphagidae,Passeriformes,36.2,5.4,6.0,32.0,128.4,25.0,114.9,75.3,Forest,Omnivore,Omnivore,Insessorial,1.0,11363.02,-4.03,-0.4,133.27,-1.28
Melidectes nouhuysi,Meliphagidae,Passeriformes,32.0,4.6,5.8,37.9,127.8,22.7,125.0,62.3,Forest,Herbivore,Omnivore,Insessorial,1.0,9644.8,-5.04,-3.49,138.43,-4.17
Melidectes ochromelas,Meliphagidae,Passeriformes,33.8,4.2,5.3,28.1,120.3,21.5,106.1,63.0,Forest,Omnivore,Omnivore,Insessorial,1.0,51249.23,-10.23,-0.42,140.76,-4.85
Melidectes rufocrissalis,Meliphagidae,Passeriformes,40.2,5.1,6.1,33.0,138.0,23.0,109.7,71.6,Forest,Omnivore,Omnivore,Insessorial,1.0,64711.26,-7.74,-4.68,143.95,-5.92
Melidectes torquatus,Meliphagidae,Passeriformes,28.4,3.9,5.2,26.3,110.5,21.2,95.4,44.9,Forest,Omnivore,Invertivore,Insessorial,1.0,95822.01,-10.24,-0.43,141.76,-5.25
Melilestes megarhynchus,Meliphagidae,Passeriformes,43.2,4.9,5.9,25.3,99.4,17.5,77.5,43.8,Forest,Omnivore,Omnivore,Insessorial,1.0,565758.84,-10.72,0.04,141.05,-5.06
Meliphacator provocator,Meliphagidae,Passeriformes,25.3,3.5,4.5,27.5,92.0,23.1,73.8,33.1,Forest,Herbivore,Nectarivore,Insessorial,1.0,432.99,-19.17,-18.94,178.23,-19.04
Meliphaga aruensis,Meliphagidae,Passeriformes,19.3,3.3,4.3,20.3,87.0,17.2,69.8,26.2,Forest,Herbivore,Omnivore,Insessorial,1.0,665428.4,-10.72,0.58,140.93,-5.34
Meliphaga lewinii,Meliphagidae,Passeriformes,23.0,3.3,4.5,24.5,94.6,18.5,82.8,33.6,Forest,Herbivore,Omnivore,Insessorial,1.0,643140.81,-39.24,-13.14,149.63,-27.8
Meliphaga notata,Meliphagidae,Passeriformes,22.6,3.3,4.3,23.7,83.7,12.8,67.5,26.4,Forest,Herbivore,Omnivore,Insessorial,2.0,110238.59,-19.78,-9.55,143.8,-14.63
Melipotes ater,Meliphagidae,Passeriformes,27.2,5.7,7.3,40.7,155.2,21.7,144.8,114.0,Forest,Herbivore,Frugivore,Insessorial,1.0,5540.01,-6.51,-5.64,146.6,-6.06
Melipotes carolae,Meliphagidae,Passeriformes,22.7,4.2,5.2,30.3,107.4,19.0,99.8,58.9,Forest,Herbivore,Frugivore,Insessorial,1.0,2249.79,-2.78,-2.33,138.76,-2.56
Melipotes fumigatus,Meliphagidae,Passeriformes,22.7,4.2,5.2,30.3,107.4,19.0,99.8,58.6,Forest,Herbivore,Frugivore,Insessorial,1.0,146497.21,-10.16,-2.45,141.98,-5.42
Melipotes gymnops,Meliphagidae,Passeriformes,22.2,4.7,5.8,29.8,104.5,22.1,94.8,54.8,Forest,Herbivore,Frugivore,Insessorial,1.0,7348.93,-2.9,-0.54,133.43,-1.13
Melithreptus affinis,Meliphagidae,Passeriformes,14.0,3.0,3.6,18.1,78.2,27.8,59.0,15.0,Forest,Carnivore,Invertivore,Insessorial,1.0,68030.0,-43.64,-39.58,146.59,-41.94
Melithreptus albogularis,Meliphagidae,Passeriformes,14.3,2.8,3.2,15.9,71.0,22.3,52.3,11.0,Forest,Carnivore,Invertivore,Insessorial,1.0,1473520.94,-31.29,-5.79,139.87,-17.95
Melithreptus brevirostris,Meliphagidae,Passeriformes,14.2,3.0,3.6,16.7,69.3,22.8,54.7,12.6,Forest,Omnivore,Omnivore,Insessorial,1.0,2003053.24,-39.48,-23.06,140.12,-31.81
Melithreptus chloropsis,Meliphagidae,Passeriformes,15.8,2.9,3.4,17.6,77.1,27.6,59.1,14.0,Forest,Carnivore,Invertivore,Insessorial,1.0,216940.62,-35.19,-30.21,118.7,-33.06
Melithreptus gularis,Meliphagidae,Passeriformes,16.9,3.5,4.1,18.7,83.6,27.7,63.3,19.4,Forest,Omnivore,Omnivore,Insessorial,1.0,1260779.55,-38.07,-19.21,147.58,-29.87
Melithreptus laetior,Meliphagidae,Passeriformes,16.6,3.3,4.1,18.7,86.0,27.7,56.8,19.4,Forest,Omnivore,Omnivore,Insessorial,1.0,2522105.43,-30.53,-12.03,134.11,-20.07
Melithreptus lunatus,Meliphagidae,Passeriformes,14.4,2.8,3.4,16.9,74.7,27.6,56.5,14.0,Forest,Carnivore,Invertivore,Insessorial,1.0,1242453.6,-39.51,-15.35,146.97,-30.66
Melithreptus validirostris,Meliphagidae,Passeriformes,19.3,4.3,4.5,20.3,80.8,23.5,67.0,24.8,Forest,Carnivore,Invertivore,Insessorial,1.0,60660.3,-43.64,-39.58,146.64,-41.87
Melitograis gilolensis,Meliphagidae,Passeriformes,35.8,4.3,6.6,27.1,106.5,18.5,95.4,54.0,Forest,Omnivore,Omnivore,Insessorial,1.0,22755.07,-0.92,2.65,128.0,0.87
Microptilotis albilineatus,Meliphagidae,Passeriformes,22.5,3.2,4.1,20.8,88.4,15.4,77.5,23.7,Forest,Omnivore,Omnivore,Insessorial,1.0,53764.24,-14.12,-11.67,133.01,-13.14
Microptilotis albonotatus,Meliphagidae,Passeriformes,21.5,3.5,4.4,21.6,83.7,15.8,68.8,22.4,Shrubland,Omnivore,Omnivore,Insessorial,1.0,320661.12,-10.73,-0.34,140.48,-5.52
Microptilotis analogus,Meliphagidae,Passeriformes,21.9,3.0,4.1,23.2,81.1,12.1,64.3,21.6,Forest,Herbivore,Omnivore,Insessorial,1.0,636132.66,-10.73,0.59,140.95,-5.34
Microptilotis cinereifrons,Meliphagidae,Passeriformes,20.6,3.2,3.7,20.4,69.5,12.6,61.4,15.0,Shrubland,Herbivore,Omnivore,Insessorial,1.0,44367.45,-10.73,-6.62,148.04,-9.06
Microptilotis flavirictus,Meliphagidae,Passeriformes,20.8,3.3,3.9,19.6,77.9,15.4,64.9,18.5,Forest,Omnivore,Omnivore,Insessorial,1.0,439941.46,-10.14,-0.34,140.12,-4.63
Microptilotis fordianus,Meliphagidae,Passeriformes,22.4,3.2,4.2,20.6,83.2,16.1,74.3,23.7,Forest,Omnivore,Omnivore,Insessorial,1.0,43433.15,-16.39,-13.73,125.82,-15.18
Microptilotis gracilis,Meliphagidae,Passeriformes,21.2,2.8,3.5,18.7,72.7,14.4,58.1,15.0,Shrubland,Herbivore,Omnivore,Insessorial,1.0,185643.55,-14.53,-3.51,140.57,-8.96
Microptilotis imitatrix,Meliphagidae,Passeriformes,22.9,2.6,3.6,18.7,74.7,14.4,60.8,15.0,Shrubland,Herbivore,Omnivore,Insessorial,1.0,18820.58,-19.16,-15.15,145.7,-17.39
Microptilotis mimikae,Meliphagidae,Passeriformes,21.6,3.1,4.4,21.6,80.9,13.3,67.4,26.9,Forest,Herbivore,Omnivore,Insessorial,1.0,89115.85,-10.39,-4.32,143.53,-6.87
Microptilotis montanus,Meliphagidae,Passeriformes,21.7,3.3,4.6,22.1,82.2,14.9,67.7,28.0,Forest,Omnivore,Omnivore,Insessorial,1.0,121416.33,-10.15,-0.4,141.05,-4.36
Microptilotis orientalis,Meliphagidae,Passeriformes,21.4,2.8,3.5,20.1,73.8,18.4,61.1,18.1,Forest,Herbivore,Nectarivore,Insessorial,1.0,193375.68,-10.62,0.04,141.53,-5.13
Microptilotis reticulatus,Meliphagidae,Passeriformes,22.2,3.0,4.2,23.1,75.8,14.8,68.9,23.6,Forest,Omnivore,Omnivore,Insessorial,1.0,27533.73,-10.37,-8.33,125.11,-9.25
Microptilotis vicina,Meliphagidae,Passeriformes,21.9,3.3,4.4,22.0,84.6,16.2,72.1,23.6,Forest,Herbivore,Omnivore,Insessorial,1.0,813.98,-11.66,-11.32,153.47,-11.51
Myza celebensis,Meliphagidae,Passeriformes,29.0,3.3,4.6,19.1,77.2,21.8,65.7,20.0,Forest,Herbivore,Nectarivore,Insessorial,1.0,42076.19,-5.45,1.37,120.58,-1.89
Myza sarasinorum,Meliphagidae,Passeriformes,30.0,4.1,5.2,26.6,93.7,21.3,87.2,22.5,Forest,Herbivore,Nectarivore,Insessorial,1.0,9804.19,-3.85,1.11,120.22,-2.14
Myzomela adolphinae,Meliphagidae,Passeriformes,13.0,2.2,2.7,13.2,51.0,17.5,32.3,7.4,Forest,Omnivore,Nectarivore,Insessorial,1.0,80091.13,-10.28,-0.51,144.18,-6.05
Myzomela batjanensis,Meliphagidae,Passeriformes,17.6,2.4,2.6,14.6,55.0,17.2,38.5,10.8,Forest,Herbivore,Nectarivore,Insessorial,1.0,101.01,-0.78,-0.68,127.52,-0.73
Myzomela blasii,Meliphagidae,Passeriformes,19.2,2.9,3.7,17.1,65.5,14.4,56.0,14.9,Forest,Herbivore,Nectarivore,Insessorial,1.0,11340.38,-3.81,-2.86,129.31,-3.22
Myzomela boiei,Meliphagidae,Passeriformes,16.2,2.8,2.8,15.7,54.2,16.7,38.0,10.8,Forest,Omnivore,Nectarivore,Insessorial,1.0,5137.12,-8.35,-4.5,131.13,-7.6
Myzomela caledonica,Meliphagidae,Passeriformes,14.5,2.5,2.6,15.1,54.9,19.2,36.2,7.0,Forest,Herbivore,Nectarivore,Insessorial,1.0,16533.26,-22.68,-20.09,165.5,-21.34
Myzomela cardinalis,Meliphagidae,Passeriformes,19.8,2.8,3.1,19.2,66.7,20.3,45.1,13.8,Forest,Herbivore,Nectarivore,Insessorial,1.0,22202.1,-22.4,-9.83,120.58,-15.14
Myzomela chermesina,Meliphagidae,Passeriformes,18.3,3.1,3.1,21.5,74.9,20.7,52.8,10.8,Forest,Omnivore,Omnivore,Insessorial,1.0,42.4,-12.52,-12.48,177.07,-12.5
Myzomela chloroptera,Meliphagidae,Passeriformes,16.1,2.5,2.6,14.6,53.6,17.2,37.1,10.8,Forest,Herbivore,Nectarivore,Insessorial,1.0,113064.21,-7.15,1.63,121.35,-1.86
Myzomela cineracea,Meliphagidae,Passeriformes,24.5,3.4,3.6,18.8,68.9,17.1,51.7,13.8,Forest,Omnivore,Nectarivore,Insessorial,1.0,32686.46,-6.31,-4.14,150.6,-5.47
