Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude
Butastur liventer,Accipitridae,Accipitriformes,31.3,10.5,14.0,61.7,275.0,42.0,149.0,338.0,Woodland,Carnivore,Vertivore,Insessorial,1.0,1357262.8,-8.78,23.45,104.1,12.53
Butastur rufipennis,Accipitridae,Accipitriformes,28.7,10.3,12.3,58.4,311.2,45.8,181.4,334.9,Woodland,Carnivore,Invertivore,Insessorial,1.0,3625177.22,-6.49,19.11,11.75,12.64
Butastur teesa,Accipitridae,Accipitriformes,30.6,10.7,13.8,60.4,295.4,44.5,191.0,325.0,Woodland,Carnivore,Vertivore,Insessorial,1.0,3969936.2,8.07,35.29,78.91,23.18
Buteo albigula,Accipitridae,Accipitriformes,27.9,11.4,15.2,57.9,291.0,37.6,182.2,525.0,Forest,Carnivore,Vertivore,Generalist,3.0,1021826.91,-51.06,5.43,-72.05,-24.5
Buteo albonotatus,Accipitridae,Accipitriformes,35.1,12.7,16.9,70.4,398.0,40.3,217.0,745.9,Forest,Carnivore,Vertivore,Aerial,1.0,7192504.19,-28.09,36.47,-69.62,0.47
Buteo augur,Accipitridae,Accipitriformes,42.7,13.3,18.9,89.3,410.2,31.4,188.5,1099.2,Woodland,Carnivore,Vertivore,Insessorial,1.0,3919632.94,-25.31,16.4,31.96,-5.73
Buteo auguralis,Accipitridae,Accipitriformes,33.3,11.2,15.6,73.6,356.2,37.8,192.6,663.9,Forest,Carnivore,Vertivore,Insessorial,1.0,7045229.26,-12.58,16.03,12.15,7.61
Buteo brachypterus,Accipitridae,Accipitriformes,33.6,11.5,16.4,63.1,315.4,31.7,184.4,511.0,Forest,Carnivore,Vertivore,Insessorial,1.0,591120.44,-25.61,-11.95,46.7,-19.38
Buteo brachyurus,Accipitridae,Accipitriformes,31.1,10.4,14.9,53.8,307.6,29.7,171.0,496.0,Forest,Carnivore,Vertivore,Aerial,1.0,14372802.04,-30.69,29.85,-62.04,-5.09
Buteo buteo,Accipitridae,Accipitriformes,35.9,12.6,16.6,75.8,382.9,38.3,214.4,759.1,Grassland,Carnivore,Vertivore,Insessorial,2.0,11719424.27,14.89,67.81,40.23,52.89
Buteo galapagoensis,Accipitridae,Accipitriformes,40.9,13.9,19.3,77.0,402.6,43.6,235.2,1137.4,Woodland,Carnivore,Vertivore,Aerial,1.0,5639.54,-1.41,0.65,-91.13,-0.44
Buteo hemilasius,Accipitridae,Accipitriformes,40.7,14.7,18.8,80.0,467.2,38.2,251.4,1358.9,Grassland,Carnivore,Vertivore,Generalist,1.0,5366251.83,28.27,54.14,100.83,42.4
Buteo jamaicensis,Accipitridae,Accipitriformes,37.6,14.4,20.2,80.9,402.8,34.1,212.2,1101.2,Woodland,Carnivore,Vertivore,Insessorial,3.0,15462822.34,8.36,68.66,-105.33,45.5
Buteo japonicus,Accipitridae,Accipitriformes,34.5,11.7,15.8,77.0,395.0,41.2,212.0,759.1,Grassland,Carnivore,Vertivore,Insessorial,2.0,4465171.4,24.23,64.97,126.58,54.33
Buteo lagopus,Accipitridae,Accipitriformes,34.5,11.7,15.9,72.3,428.3,42.1,240.0,949.8,Grassland,Carnivore,Vertivore,Insessorial,3.0,9709846.76,47.6,83.11,2.14,67.33
Buteo lineatus,Accipitridae,Accipitriformes,33.1,11.8,16.3,74.1,319.0,33.4,172.8,603.7,Woodland,Carnivore,Vertivore,Aerial,3.0,3542030.5,24.95,47.85,-86.88,37.72
