Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude,bio_1,bio_4,bio_5,bio_6,bio_12
Pseudonestor xanthophrys,Fringillidae,Passeriformes,21.4,5.4,13.0,21.9,72.2,19.9,45.4,22.1,Forest,Carnivore,Invertivore,Insessorial,1.0,49.32,20.69,20.79,-156.15,20.74,18.086694717407227,120.08419036865234,23.23305320739746,12.385153770446777,2661.0
Pyrrhoplectes epauletta,Fringillidae,Passeriformes,14.0,6.4,7.8,18.8,75.8,16.3,56.8,19.0,Forest,Herbivore,Granivore,Generalist,1.0,179167.72,24.43,30.1,97.89,27.27,17.39021873474121,472.0063781738281,26.11174964904785,4.570250034332275,2735.0
Pyrrhula aurantiaca,Fringillidae,Passeriformes,11.2,6.7,8.0,15.2,77.9,22.1,58.2,19.3,Forest,Herbivore,Granivore,Generalist,1.0,115572.74,30.23,36.13,74.8,33.45,10.461562156677246,711.930419921875,24.32349967956543,-5.553999900817871,1143.0
Pyrrhula erythaca,Fringillidae,Passeriformes,12.4,7.6,8.4,17.5,81.7,20.6,71.9,19.0,Forest,Herbivore,Omnivore,Insessorial,1.0,2188959.5,21.49,43.22,103.21,30.48,15.580666542053223,688.6869506835938,28.28325080871582,1.693750023841858,1306.0
Pyrrhula erythrocephala,Fringillidae,Passeriformes,11.5,7.3,8.3,16.5,77.4,16.6,66.0,22.3,Forest,Herbivore,Granivore,Insessorial,1.0,283133.57,26.77,33.52,83.45,29.13,-0.7236250042915344,604.9387817382812,13.221750259399414,-16.248750686645508,465.0
Pyrrhula leucogenis,Fringillidae,Passeriformes,13.9,8.8,10.4,17.2,77.0,17.2,67.0,19.0,Forest,Herbivore,Omnivore,Insessorial,1.0,16930.87,6.91,18.33,122.44,13.68,26.81538963317871,104.94074249267578,32.41417694091797,21.3193302154541,2094.0
Pyrrhula murina,Fringillidae,Passeriformes,12.6,9.2,10.2,20.8,83.7,25.4,71.0,30.0,Woodland,Herbivore,Granivore,Insessorial,1.0,144.43,37.73,37.84,-25.24,37.79,15.452759742736816,290.1794738769531,22.913597106933594,9.803947448730469,1106.0
Pyrrhula nipalensis,Fringillidae,Passeriformes,13.7,8.9,9.8,16.4,85.9,21.1,75.0,24.6,Forest,Herbivore,Omnivore,Insessorial,1.0,2202759.21,11.46,32.82,103.23,25.95,13.274031639099121,457.84393310546875,22.9372501373291,0.03999999910593033,898.0
Pyrrhula pyrrhula,Fringillidae,Passeriformes,13.1,8.2,9.0,18.0,88.6,24.9,68.3,24.3,Forest,Herbivore,Omnivore,Insessorial,1.0,17864017.39,33.14,70.4,75.68,56.29,0.3885937035083771,1350.758544921875,24.524250030517578,-22.300750732421875,416.0
Pyrrhula waterstradti,Fringillidae,Passeriformes,13.7,8.9,9.8,16.4,85.9,21.1,75.0,24.6,Forest,Herbivore,Omnivore,Insessorial,1.0,11728.0,3.32,4.72,101.83,4.09,25.733291625976562,55.54635238647461,31.211750030517578,20.581748962402344,2646.0
Rhodopechys alienus,Fringillidae,Passeriformes,11.8,7.2,10.3,18.4,104.2,39.6,64.0,38.1,Grassland,Herbivore,Omnivore,Terrestrial,2.0,35637.31,30.67,35.29,-5.99,31.82,8.63253116607666,741.0333251953125,27.93975067138672,-6.42425012588501,337.0
Rhodopechys sanguineus,Fringillidae,Passeriformes,13.3,7.6,10.7,18.6,100.5,36.0,57.1,38.1,Grassland,Herbivore,Omnivore,Terrestrial,2.0,1751280.31,28.21,44.71,60.81,38.56,16.237688064575195,1097.919677734375,39.70800018310547,-3.5260000228881836,130.0
Rhodospiza obsoleta,Fringillidae,Passeriformes,11.9,7.2,9.6,16.8,85.6,36.3,65.8,25.5,Desert,Herbivore,Granivore,Generalist,2.0,3475699.18,23.96,47.85,74.43,39.93,1.913468837738037,1023.2886962890625,23.00200080871582,-18.765499114990234,206.0
Rhynchostruthus louisae,Fringillidae,Passeriformes,15.4,8.0,10.6,17.3,80.9,29.9,47.2,28.3,Woodland,Herbivore,Omnivore,Insessorial,1.0,23959.28,9.63,11.34,46.46,10.31,25.59429168701172,295.838134765625,34.70724868774414,15.401000022888184,104.0
Rhynchostruthus percivali,Fringillidae,Passeriformes,17.1,8.8,11.5,17.0,88.9,29.2,52.0,28.3,Woodland,Herbivore,Omnivore,Insessorial,1.0,83044.08,13.1,20.98,45.35,16.83,26.750354766845703,525.184814453125,39.692501068115234,11.821000099182129,83.0
Rhynchostruthus socotranus,Fringillidae,Passeriformes,17.5,8.3,11.4,19.3,85.5,29.4,53.0,28.3,Woodland,Herbivore,Omnivore,Insessorial,1.0,3622.4,12.3,12.71,53.87,12.51,23.98520851135254,141.2034149169922,30.475379943847656,17.810638427734375,132.0
Serinus alario,Fringillidae,Passeriformes,10.2,4.7,6.0,14.6,68.0,28.5,45.1,12.2,Shrubland,Herbivore,Granivore,Generalist,1.0,508153.43,-34.83,-20.21,21.49,-30.6,17.905895233154297,590.7632446289062,34.13050079345703,1.0815000534057617,186.0
Serinus canicollis,Fringillidae,Passeriformes,11.3,4.9,6.3,14.8,75.5,30.2,54.5,15.2,Shrubland,Herbivore,Granivore,Generalist,1.0,615500.68,-34.82,-17.54,26.18,-30.26,15.030655860900879,539.5704345703125,29.99424934387207,-1.8324999809265137,488.0
Serinus flavivertex,Fringillidae,Passeriformes,12.1,5.0,6.2,14.9,78.2,30.6,53.3,14.0,Shrubland,Herbivore,Granivore,Terrestrial,1.0,323625.7,-15.47,15.89,33.66,0.8,22.903427124023438,67.25701141357422,30.34025001525879,16.692501068115234,1258.0
Serinus nigriceps,Fringillidae,Passeriformes,11.3,4.5,6.0,16.3,75.5,28.2,50.2,15.4,Grassland,Herbivore,Granivore,Insessorial,1.0,114938.98,6.02,14.49,38.76,9.95,19.921541213989258,159.19151306152344,29.59524917602539,11.032750129699707,839.0
Serinus pusillus,Fringillidae,Passeriformes,9.6,4.1,5.5,13.9,73.4,29.2,51.3,11.5,Rock,Herbivore,Granivore,Terrestrial,2.0,1833803.31,28.55,46.05,67.06,37.3,18.02584457397461,1018.6181640625,41.10200119018555,-1.5217499732971191,161.0
Serinus serinus,Fringillidae,Passeriformes,9.2,4.6,5.2,13.9,70.8,29.3,46.4,11.2,Forest,Herbivore,Granivore,Generalist,2.0,4819417.99,27.73,60.04,13.58,45.07,14.269659996032715,670.8314208984375,28.523942947387695,1.9704225063323975,805.0
Serinus syriacus,Fringillidae,Passeriformes,10.1,4.5,5.6,14.4,73.4,30.1,52.8,11.7,Woodland,Herbivore,Granivore,Generalist,2.0,7402.84,30.08,34.66,35.76,32.81,19.072187423706055,619.6318969726562,32.3385009765625,6.12375020980835,429.0
Spinus atratus,Fringillidae,Passeriformes,11.6,4.6,6.0,16.2,79.6,29.9,49.9,16.0,Grassland,Herbivore,Granivore,Generalist,1.0,839801.14,-35.39,-9.48,-69.0,-21.8,7.661354064941406,280.06256103515625,18.598249435424805,-5.50600004196167,33.0
Spinus atriceps,Fringillidae,Passeriformes,13.4,4.2,5.4,13.4,67.2,32.0,42.9,13.5,Forest,Herbivore,Granivore,Generalist,1.0,50051.08,14.27,17.38,-91.65,15.76,15.468656539916992,135.01304626464844,24.534500122070312,6.1917500495910645,1816.0
Spinus barbatus,Fringillidae,Passeriformes,12.6,5.6,6.9,16.3,72.2,31.1,48.9,15.5,Forest,Herbivore,Granivore,Generalist,1.0,1234638.37,-55.0,-25.23,-69.66,-43.24,6.78502082824707,529.695556640625,21.521249771118164,-5.077750205993652,209.0
Spinus crassirostris,Fringillidae,Passeriformes,14.3,7.1,9.6,17.6,79.4,28.9,54.6,19.0,Shrubland,Herbivore,Granivore,Insessorial,1.0,373239.18,-35.3,-9.22,-69.15,-22.33,12.012728691101074,257.5545349121094,22.943750381469727,-0.827750027179718,13.0
Spinus cucullatus,Fringillidae,Passeriformes,10.5,4.9,6.0,10.8,58.1,27.9,32.9,9.8,Forest,Herbivore,Granivore,Insessorial,1.0,3251.0,2.66,11.27,-66.33,8.15,27.406665802001953,60.418006896972656,34.25699996948242,21.480249404907227,1450.0
Spinus dominicensis,Fringillidae,Passeriformes,11.7,5.0,7.2,14.2,66.5,29.5,40.5,12.6,Forest,Herbivore,Granivore,Generalist,1.0,9702.06,18.04,19.34,-71.81,18.69,19.537906646728516,117.38748931884766,26.396249771118164,11.66825008392334,1575.0
Spinus lawrencei,Fringillidae,Passeriformes,10.2,4.2,5.6,13.1,65.0,29.0,47.5,10.9,Forest,Herbivore,Granivore,Terrestrial,3.0,139353.83,30.09,40.82,-118.89,35.08,17.7354679107666,662.5540771484375,35.39025115966797,1.8482500314712524,218.0
Spinus magellanicus,Fringillidae,Passeriformes,12.0,4.6,6.5,13.9,69.5,27.2,44.4,13.6,Shrubland,Herbivore,Granivore,Insessorial,1.0,6077584.71,-41.17,6.98,-56.84,-21.61,23.3641357421875,280.4861145019531,32.084999084472656,12.626250267028809,1307.0
Spinus notatus,Fringillidae,Passeriformes,13.4,4.6,6.1,13.0,65.2,30.9,40.2,10.9,Forest,Herbivore,Granivore,Insessorial,1.0,488138.48,12.73,29.26,-98.88,20.01,15.099635124206543,187.95257568359375,26.548250198364258,2.565500020980835,507.0
Spinus olivaceus,Fringillidae,Passeriformes,11.6,4.8,6.1,14.2,63.0,29.4,39.0,13.6,Forest,Herbivore,Granivore,Insessorial,1.0,173162.69,-17.45,0.42,-73.25,-10.53,25.621479034423828,57.2805061340332,31.78274917602539,18.719499588012695,1656.0
Spinus pinus,Fringillidae,Passeriformes,14.0,4.3,5.5,13.9,72.4,35.2,48.3,12.7,Forest,Herbivore,Granivore,Insessorial,1.0,7806130.28,14.9,65.72,-108.01,49.57,3.7527499198913574,1108.082763671875,26.02775001525879,-18.43000030517578,377.0
Spinus psaltria,Fringillidae,Passeriformes,10.2,4.7,6.3,12.4,60.9,26.0,40.4,8.8,Shrubland,Herbivore,Granivore,Insessorial,1.0,3951950.33,-8.61,46.31,-106.31,30.17,15.407259941101074,712.2180786132812,33.364749908447266,-3.135499954223633,364.0
Spinus siemiradzkii,Fringillidae,Passeriformes,11.4,4.5,6.7,12.9,57.5,22.3,33.5,13.6,Shrubland,Herbivore,Granivore,Generalist,1.0,18291.44,-4.3,-1.31,-80.22,-2.86,24.670040130615234,132.99026489257812,30.943805694580078,18.521238327026367,367.0
Spinus spinescens,Fringillidae,Passeriformes,11.1,4.8,5.7,12.7,63.0,26.8,47.3,11.3,Grassland,Herbivore,Granivore,Generalist,1.0,117953.77,-0.29,11.05,-74.42,5.25,22.102468490600586,32.3807487487793,27.535999298095703,17.0622501373291,2255.0
Spinus spinus,Fringillidae,Passeriformes,12.8,4.5,6.1,12.7,71.6,36.5,46.4,13.2,Forest,Herbivore,Granivore,Insessorial,1.0,8968022.11,35.37,70.16,65.08,55.86,1.6179896593093872,1340.70654296875,24.679500579833984,-21.153749465942383,403.0
Spinus thibetanus,Fringillidae,Passeriformes,11.3,3.7,5.0,12.0,68.9,36.0,42.9,10.5,Forest,Herbivore,Granivore,Generalist,2.0,596948.36,27.16,36.22,98.87,31.26,1.11592698097229,659.8106689453125,15.000249862670898,-15.943750381469727,610.0
Spinus tristis,Fringillidae,Passeriformes,11.5,4.3,6.3,13.5,69.8,27.6,48.3,12.8,Forest,Herbivore,Granivore,Insessorial,1.0,7802444.22,31.4,57.36,-96.32,44.46,6.292375087738037,1203.46728515625,28.155750274658203,-16.930749893188477,625.0
Spinus uropygialis,Fringillidae,Passeriformes,12.0,4.5,6.0,16.2,80.4,35.2,50.0,14.0,Shrubland,Herbivore,Granivore,Generalist,1.0,158669.39,-37.92,-24.58,-70.2,-32.16,-1.3766041994094849,423.8360900878906,10.147500038146973,-11.149499893188477,299.0
Spinus xanthogastrus,Fringillidae,Passeriformes,10.5,4.3,5.8,13.5,65.2,29.1,40.5,12.7,Forest,Herbivore,Granivore,Insessorial,1.0,161327.43,-18.69,10.5,-72.25,-2.17,26.160261154174805,48.62517166137695,31.30150032043457,20.770000457763672,2894.0
Spinus yarrellii,Fringillidae,Passeriformes,10.8,4.7,6.7,12.4,61.9,26.8,39.0,10.5,Forest,Herbivore,Omnivore,Insessorial,1.0,1440.75,-10.04,-6.06,-40.18,-8.49,24.58368682861328,144.07638549804688,32.38975143432617,16.420499801635742,565.0
Telespiza cantans,Fringillidae,Passeriformes,18.9,7.6,12.3,24.4,80.5,19.8,56.7,33.3,Grassland,Herbivore,Omnivore,Generalist,1.0,3.41,25.75,25.78,-171.73,25.77,23.622222900390625,223.0870819091797,29.133333206176758,18.53333282470703,986.0
Acrobatornis fonsecai,Furnariidae,Passeriformes,10.4,3.0,3.6,17.6,62.9,21.2,56.6,13.7,Forest,Carnivore,Invertivore,Insessorial,1.0,3689.54,-16.05,-14.51,-39.65,-15.42,22.400562286376953,156.7306671142578,28.111000061035156,15.987750053405762,1170.0
Anabacerthia amaurotis,Furnariidae,Passeriformes,18.5,4.1,4.9,19.6,76.2,15.5,72.3,19.2,Forest,Carnivore,Invertivore,Insessorial,1.0,499233.47,-29.83,-19.71,-50.11,-25.27,17.499197006225586,298.6199645996094,26.830249786376953,7.040750026702881,1457.0
Anabacerthia lichtensteini,Furnariidae,Passeriformes,16.9,3.7,5.2,18.6,78.2,17.5,74.0,21.0,Forest,Carnivore,Invertivore,Insessorial,1.0,1589284.85,-29.59,-13.51,-49.37,-21.76,21.592958450317383,254.09918212890625,29.949748992919922,10.626999855041504,1229.0
Anabacerthia ruficaudata,Furnariidae,Passeriformes,18.1,4.0,5.5,19.3,90.2,18.2,74.1,30.1,Forest,Carnivore,Invertivore,Insessorial,1.0,4312236.42,-17.02,7.62,-61.9,-3.69,26.656583786010742,27.8896541595459,31.769500732421875,21.919750213623047,2743.0
Anabacerthia striaticollis,Furnariidae,Passeriformes,18.6,3.8,5.4,20.0,87.3,18.0,76.1,24.8,Forest,Carnivore,Invertivore,Insessorial,1.0,335322.02,-17.03,11.18,-73.77,-1.55,25.927000045776367,60.85444641113281,31.285499572753906,20.298749923706055,2868.0
Anabazenops dorsalis,Furnariidae,Passeriformes,23.4,5.0,7.5,23.5,92.7,13.9,77.0,35.4,Forest,Carnivore,Invertivore,Insessorial,1.0,480171.5,-14.22,1.51,-73.22,-7.79,25.2623233795166,52.597049713134766,31.215749740600586,18.684249877929688,2198.0
Anabazenops fuscus,Furnariidae,Passeriformes,25.2,4.6,7.0,23.4,91.6,14.4,80.0,38.5,Forest,Carnivore,Invertivore,Insessorial,1.0,372722.52,-28.01,-13.5,-43.46,-20.55,19.261999130249023,219.5337677001953,27.36224937438965,9.16100025177002,1397.0
Ancistrops strigilatus,Furnariidae,Passeriformes,23.1,5.2,7.1,23.1,92.8,18.1,72.5,35.9,Forest,Carnivore,Invertivore,Insessorial,1.0,2508167.13,-14.95,3.44,-67.88,-5.93,25.967500686645508,40.855552673339844,31.831499099731445,19.76474952697754,2596.0
Anumbius annumbi,Furnariidae,Passeriformes,19.6,3.8,4.7,24.3,81.4,20.5,82.2,41.5,Grassland,Carnivore,Invertivore,Generalist,1.0,2928674.73,-43.26,-11.32,-57.25,-28.89,20.396583557128906,441.06158447265625,32.445499420166016,8.9975004196167,1463.0
Aphrastura masafucrae,Furnariidae,Passeriformes,16.1,2.6,3.3,22.2,65.8,18.9,68.9,12.2,Forest,Carnivore,Invertivore,Insessorial,1.0,10.84,-33.79,-33.71,-80.75,-33.76,12.563194274902344,238.4932098388672,18.480770111083984,7.485897541046143,1056.0
Aphrastura spinicauda,Furnariidae,Passeriformes,13.7,2.6,3.0,20.2,59.4,20.5,76.8,11.5,Forest,Carnivore,Invertivore,Insessorial,1.0,491332.8,-56.53,-30.3,-72.25,-45.16,5.475135326385498,401.6944885253906,15.234999656677246,-3.2622499465942383,1377.0
Asthenes anthoides,Furnariidae,Passeriformes,15.8,2.8,3.4,21.3,67.2,16.0,68.6,22.3,Grassland,Carnivore,Invertivore,Terrestrial,1.0,192482.47,-55.32,-39.59,-70.7,-47.88,7.811625003814697,487.7807312011719,20.806499481201172,-2.934499979019165,153.0
Asthenes arequipae,Furnariidae,Passeriformes,15.9,3.0,3.9,24.5,69.2,13.1,74.2,20.0,Shrubland,Omnivore,Invertivore,Terrestrial,1.0,98013.95,-19.76,-12.35,-70.91,-16.2,3.6154792308807373,190.2641143798828,13.96975040435791,-10.123499870300293,488.0
Asthenes ayacuchensis,Furnariidae,Passeriformes,13.9,2.9,3.4,23.9,57.4,11.0,98.5,20.2,Grassland,Carnivore,Invertivore,Insessorial,1.0,10136.91,-13.82,-11.69,-73.93,-12.61,20.019020080566406,57.393959045410156,26.519250869750977,12.906999588012695,1468.0
Asthenes baeri,Furnariidae,Passeriformes,12.5,2.7,3.8,19.1,58.5,12.3,66.6,17.8,Shrubland,Carnivore,Invertivore,Insessorial,1.0,1726715.05,-41.17,-19.09,-62.19,-31.67,17.462322235107422,512.4171752929688,31.284500122070312,4.010499954223633,877.0
Asthenes berlepschi,Furnariidae,Passeriformes,16.9,3.0,4.2,23.4,67.0,10.5,73.0,67.0,Shrubland,Carnivore,Invertivore,Terrestrial,1.0,2103.93,-16.59,-15.43,-68.53,-15.93,5.230989456176758,176.41087341308594,14.247249603271484,-6.998499870300293,811.0
Asthenes coryi,Furnariidae,Passeriformes,15.2,2.8,3.4,21.9,56.6,11.9,84.0,16.8,Grassland,Carnivore,Invertivore,Insessorial,1.0,9010.23,7.63,9.52,-71.27,8.55,16.582927703857422,51.45564270019531,21.166500091552734,11.168000221252441,1141.0
Asthenes dorbignyi,Furnariidae,Passeriformes,14.2,2.8,3.7,22.7,64.1,12.5,73.3,15.9,Shrubland,Omnivore,Invertivore,Terrestrial,1.0,252131.25,-33.5,-15.74,-66.53,-24.38,5.43874979019165,332.13861083984375,16.940500259399414,-8.731249809265137,119.0
Asthenes flammulata,Furnariidae,Passeriformes,16.9,3.1,3.8,24.6,62.6,9.6,71.3,22.5,Grassland,Carnivore,Invertivore,Generalist,1.0,122945.37,-11.66,7.44,-76.92,-2.41,25.278520584106445,44.58615493774414,30.826749801635742,19.70800018310547,3176.0
Asthenes fuliginosa,Furnariidae,Passeriformes,13.9,2.9,3.4,23.8,58.0,12.6,106.2,18.3,Grassland,Carnivore,Invertivore,Insessorial,1.0,96182.51,-10.02,7.71,-75.97,-0.03,25.17146873474121,58.507476806640625,30.79924964904785,19.82124900817871,3352.0
Asthenes griseomurina,Furnariidae,Passeriformes,14.4,3.1,3.4,24.6,59.1,10.2,107.3,17.6,Grassland,Carnivore,Invertivore,Insessorial,1.0,18912.9,-6.3,-2.74,-79.26,-4.1,17.024656295776367,28.953060150146484,23.631000518798828,11.123749732971191,928.0
Asthenes harterti,Furnariidae,Passeriformes,15.2,2.8,3.2,22.5,52.0,12.8,100.8,12.9,Grassland,Carnivore,Invertivore,Insessorial,1.0,23849.1,-17.89,-14.55,-67.06,-16.41,15.67257308959961,132.54290771484375,23.844249725341797,5.221250057220459,1176.0
Asthenes helleri,Furnariidae,Passeriformes,15.3,2.5,3.2,23.0,52.6,12.3,97.0,15.3,Grassland,Carnivore,Invertivore,Insessorial,1.0,43369.93,-15.22,-11.84,-71.49,-13.38,6.969395637512207,141.6085205078125,16.067249298095703,-5.811500072479248,777.0
Asthenes heterura,Furnariidae,Passeriformes,13.9,2.6,3.2,21.1,60.2,13.7,88.8,13.5,Shrubland,Carnivore,Invertivore,Terrestrial,1.0,40109.56,-25.3,-16.4,-65.5,-21.53,11.6219482421875,308.4080505371094,22.295499801635742,-2.377000093460083,351.0
Asthenes huancavelicae,Furnariidae,Passeriformes,14.2,3.1,3.8,22.5,66.6,11.5,70.8,22.2,Shrubland,Omnivore,Invertivore,Terrestrial,1.0,18080.9,-13.63,-8.59,-74.89,-12.47,9.309207916259766,69.88167572021484,17.3387508392334,-0.38475000858306885,857.0
Asthenes hudsoni,Furnariidae,Passeriformes,18.3,3.2,4.3,24.1,74.2,15.8,74.0,19.0,Grassland,Carnivore,Invertivore,Generalist,1.0,803230.15,-41.84,-30.24,-60.77,-35.79,15.963698387145996,515.351806640625,30.22249984741211,3.3577499389648438,1028.0
Asthenes humilis,Furnariidae,Passeriformes,17.4,3.0,3.9,25.9,70.7,10.9,68.5,21.0,Grassland,Carnivore,Invertivore,Terrestrial,2.0,146012.52,-17.54,-7.14,-73.85,-12.25,22.54528045654297,62.76034927368164,28.714000701904297,15.773500442504883,1676.0
Asthenes luizae,Furnariidae,Passeriformes,14.4,2.5,4.4,24.2,70.0,11.3,86.5,28.0,Shrubland,Carnivore,Invertivore,Terrestrial,1.0,14884.37,-19.79,-14.93,-43.55,-17.96,20.819259643554688,188.6542205810547,28.160499572753906,10.939499855041504,1176.0
Asthenes maculicauda,Furnariidae,Passeriformes,16.6,2.9,3.7,23.0,58.6,10.1,82.6,19.0,Grassland,Carnivore,Invertivore,Generalist,1.0,48997.23,-27.22,-12.97,-67.4,-18.57,8.777458190917969,314.18536376953125,21.30875015258789,-6.615999698638916,300.0
Asthenes modesta,Furnariidae,Passeriformes,16.0,2.7,3.6,23.0,68.3,11.3,73.2,16.8,Grassland,Carnivore,Invertivore,Terrestrial,1.0,2015310.78,-51.23,-10.54,-68.63,-32.95,16.81862449645996,620.0655517578125,32.16849899291992,0.609250009059906,211.0
Asthenes moreirae,Furnariidae,Passeriformes,13.7,2.8,3.1,23.1,59.3,10.6,106.5,10.5,Shrubland,Carnivore,Invertivore,Insessorial,1.0,39562.85,-22.74,-19.69,-42.83,-21.53,21.351842880249023,231.39547729492188,30.22800064086914,11.26099967956543,1315.0
Asthenes ottonis,Furnariidae,Passeriformes,14.0,2.6,3.3,21.5,57.7,11.3,99.7,13.0,Shrubland,Carnivore,Invertivore,Generalist,1.0,48172.58,-14.31,-12.44,-72.86,-13.45,14.342177391052246,67.25142669677734,22.912250518798828,5.241750240325928,1213.0
Asthenes palpebralis,Furnariidae,Passeriformes,16.1,2.9,3.3,24.1,57.9,11.4,114.0,17.0,Grassland,Carnivore,Invertivore,Insessorial,1.0,11496.43,-12.05,-11.07,-75.13,-11.54,11.289937973022461,59.676605224609375,18.569499969482422,2.1364998817443848,977.0
Asthenes perijana,Furnariidae,Passeriformes,15.6,3.0,4.0,22.6,59.4,11.9,110.0,18.3,Grassland,Carnivore,Invertivore,Insessorial,1.0,111.26,10.16,10.47,-72.9,10.3,13.08609390258789,71.6326675415039,18.62325096130371,6.720250129699707,1275.0
Asthenes pudibunda,Furnariidae,Passeriformes,17.1,2.7,3.3,21.8,59.8,9.6,80.5,14.9,Shrubland,Carnivore,Invertivore,Insessorial,1.0,89205.07,-18.87,-7.92,-74.47,-13.52,7.883999824523926,98.93960571289062,16.46125030517578,-2.236999988555908,847.0
Asthenes pyrrholeuca,Furnariidae,Passeriformes,13.8,2.5,3.0,19.6,59.6,17.9,80.0,13.2,Shrubland,Carnivore,Invertivore,Insessorial,2.0,1342673.81,-52.5,-29.06,-68.12,-40.58,10.283552169799805,581.7193603515625,26.48525047302246,-3.176500082015991,198.0
Asthenes urubambensis,Furnariidae,Passeriformes,15.8,3.0,3.5,25.3,58.1,12.4,87.0,16.0,Grassland,Carnivore,Invertivore,Insessorial,1.0,63371.51,-17.63,-7.57,-71.35,-13.35,6.969395637512207,141.6085205078125,16.067249298095703,-5.811500072479248,777.0
Asthenes usheri,Furnariidae,Passeriformes,14.2,3.7,4.6,23.1,62.5,10.9,73.3,15.9,Shrubland,Omnivore,Invertivore,Terrestrial,1.0,9259.42,-14.78,-13.31,-73.42,-14.13,6.658895969390869,120.62751770019531,15.767499923706055,-4.643750190734863,943.0
Asthenes vilcabambae,Furnariidae,Passeriformes,13.9,3.0,3.4,26.0,61.1,13.3,98.5,20.2,Grassland,Carnivore,Invertivore,Insessorial,1.0,13148.35,-13.45,-11.52,-73.51,-12.37,12.499646186828613,65.99532318115234,19.87125015258789,3.7170000076293945,1100.0
Asthenes virgata,Furnariidae,Passeriformes,17.1,3.2,4.0,24.6,66.3,8.3,89.3,22.0,Grassland,Carnivore,Invertivore,Generalist,1.0,46703.35,-14.31,-10.89,-73.75,-12.61,21.568031311035156,59.51580047607422,27.989999771118164,14.661499977111816,1484.0
Asthenes wyatti,Furnariidae,Passeriformes,15.7,2.9,3.6,24.2,68.1,13.8,81.3,15.2,Grassland,Carnivore,Invertivore,Generalist,1.0,467539.8,-31.67,11.24,-69.6,-16.8,6.204385280609131,185.0963134765625,16.02899932861328,-6.391499996185303,585.0
Automolus infuscatus,Furnariidae,Passeriformes,24.0,4.8,6.5,22.5,90.8,19.4,73.5,32.9,Forest,Carnivore,Invertivore,Insessorial,1.0,4323531.2,-14.34,8.27,-65.2,-1.71,26.461427688598633,28.1897029876709,31.790998458862305,21.438249588012695,2775.0
Automolus lammi,Furnariidae,Passeriformes,22.0,4.8,7.0,22.6,90.3,14.8,80.8,34.5,Forest,Carnivore,Invertivore,Insessorial,1.0,63962.64,-11.51,-6.54,-35.99,-8.74,21.404541015625,141.01780700683594,27.60124969482422,15.881250381469727,1109.0
Automolus leucophthalmus,Furnariidae,Passeriformes,24.0,4.4,6.7,22.7,90.8,17.4,82.1,34.5,Forest,Carnivore,Invertivore,Insessorial,1.0,1800565.07,-32.25,-11.49,-49.26,-22.39,21.086280822753906,231.86302185058594,29.351499557495117,10.769000053405762,1199.0
Automolus melanopezus,Furnariidae,Passeriformes,21.5,4.7,6.4,21.8,85.1,17.1,75.5,31.4,Forest,Carnivore,Invertivore,Insessorial,1.0,670422.08,-13.58,1.01,-69.86,-7.54,25.090593338012695,53.09965515136719,31.160499572753906,17.89349937438965,2312.0
Automolus ochrolaemus,Furnariidae,Passeriformes,22.7,4.8,6.4,23.5,87.1,17.4,74.8,40.2,Forest,Carnivore,Invertivore,Insessorial,1.0,6428902.26,-17.68,18.88,-65.48,-2.68,26.617385864257812,26.443241119384766,31.86374855041504,21.706750869750977,3273.0
Automolus paraensis,Furnariidae,Passeriformes,22.9,4.6,6.5,22.4,89.7,19.8,75.2,36.0,Forest,Carnivore,Invertivore,Insessorial,1.0,1664456.09,-14.22,0.64,-53.98,-7.3,25.54032325744629,37.582218170166016,33.72024917602539,18.506500244140625,2100.0
Automolus rufipileatus,Furnariidae,Passeriformes,23.4,5.0,6.4,23.2,86.9,13.4,79.6,34.8,Forest,Carnivore,Invertivore,Insessorial,1.0,4360535.3,-17.23,8.82,-62.67,-3.63,26.63574981689453,26.179811477661133,31.66175079345703,21.81049919128418,2528.0
Automolus subulatus,Furnariidae,Passeriformes,25.4,4.5,5.7,20.0,79.6,20.1,68.3,28.8,Forest,Carnivore,Invertivore,Insessorial,1.0,3284717.79,-16.11,7.66,-67.66,-4.61,26.04850959777832,35.710208892822266,31.618249893188477,20.548749923706055,2632.0
Berlepschia rikeri,Furnariidae,Passeriformes,25.0,4.8,6.3,21.0,96.1,31.7,77.7,37.0,Forest,Carnivore,Invertivore,Insessorial,1.0,5179268.8,-16.0,8.1,-57.86,-4.27,26.949739456176758,53.37728500366211,32.69675064086914,21.34524917602539,2365.0
Campylorhamphus falcularius,Furnariidae,Passeriformes,71.3,4.3,5.8,22.2,99.5,14.0,98.4,42.6,Forest,Carnivore,Invertivore,Insessorial,1.0,876884.84,-30.13,-12.31,-48.33,-23.57,19.19645881652832,258.38995361328125,27.42824935913086,9.336250305175781,1193.0
Campylorhamphus multostriatus,Furnariidae,Passeriformes,55.3,3.9,5.3,19.6,93.1,19.0,86.4,33.5,Forest,Carnivore,Invertivore,Insessorial,1.0,310766.67,-9.9,-1.58,-52.07,-6.06,24.549884796142578,32.42445373535156,32.813751220703125,16.791000366210938,1927.0
