Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude,bio_1,bio_4,bio_5,bio_6,bio_12
Accipiter princeps,Accipitridae,Accipitriformes,33.6,13.8,17.8,68.0,266.3,29.2,192.3,214.8,Forest,Carnivore,Vertivore,Insessorial,1.0,11549.62,-6.11,-4.23,151.04,-5.35,24.4561767578125,47.902198791503906,29.008291244506836,20.02110481262207,3881.0
Accipiter rhodogaster,Accipitridae,Accipitriformes,20.5,7.9,10.8,53.4,172.6,29.7,125.8,172.7,Forest,Carnivore,Vertivore,Insessorial,1.0,146036.85,-5.7,1.76,121.39,-1.93,26.338241577148438,40.586997985839844,31.061481475830078,21.66073989868164,2350.0
Accipiter rufiventris,Accipitridae,Accipitriformes,20.3,7.8,10.0,54.2,218.6,38.1,165.8,198.0,Forest,Carnivore,Vertivore,Aerial,1.0,756057.21,-34.04,15.67,32.6,-7.01,23.11924934387207,124.90005493164062,31.831748962402344,13.572250366210938,876.0
Accipiter soloensis,Accipitridae,Accipitriformes,25.6,8.6,9.7,39.5,187.8,39.0,123.4,164.8,Forest,Carnivore,Vertivore,Insessorial,3.0,2375886.74,20.24,47.24,117.13,31.97,15.680313110351562,916.1083984375,31.270750045776367,-1.531499981880188,1078.0
Accipiter striatus,Accipitridae,Accipitriformes,18.3,7.3,9.4,49.9,181.6,30.7,134.3,130.6,Forest,Carnivore,Vertivore,Aerial,3.0,16375303.87,-34.98,69.38,-96.11,34.35,16.46556282043457,857.530517578125,34.19575119018555,-2.3340001106262207,1067.0
Accipiter superciliosus,Accipitridae,Accipitriformes,19.4,6.7,10.4,37.4,146.4,26.9,104.6,96.4,Forest,Carnivore,Vertivore,Aerial,1.0,8560355.56,-28.11,14.61,-60.98,-6.22,26.943073272705078,33.628562927246094,33.31100082397461,20.933500289916992,2533.0
Accipiter sylvestris,Accipitridae,Accipitriformes,26.0,9.2,13.1,54.5,206.4,32.0,146.9,326.1,Forest,Carnivore,Vertivore,Insessorial,1.0,34582.63,-9.11,-8.07,120.12,-8.57,24.853178024291992,64.28958129882812,29.919750213623047,19.421499252319336,2010.0
Accipiter tachiro,Accipitridae,Accipitriformes,18.0,9.1,12.4,65.7,217.4,25.7,175.0,290.2,Forest,Carnivore,Vertivore,Aerial,1.0,5174215.21,-34.84,4.53,29.9,-12.54,20.404582977294922,228.08554077148438,30.711000442504883,8.545249938964844,1115.0
Accipiter toussenelii,Accipitridae,Accipitriformes,24.4,9.2,11.9,62.1,189.0,24.4,157.2,249.3,Forest,Carnivore,Vertivore,Insessorial,1.0,4598131.33,-6.06,17.41,15.99,3.51,24.195520401000977,64.4081039428711,30.979249954223633,18.10325050354004,1556.0
Accipiter trinotatus,Accipitridae,Accipitriformes,20.4,8.6,11.2,48.2,162.9,27.2,128.8,146.0,Forest,Carnivore,Vertivore,Insessorial,1.0,120238.86,-5.66,1.76,121.37,-1.81,24.008163452148438,43.136573791503906,28.840816497802734,19.1839656829834,2082.0
Accipiter trivirgatus,Accipitridae,Accipitriformes,31.7,10.5,14.1,56.9,216.2,23.0,171.9,265.0,Forest,Carnivore,Vertivore,Insessorial,1.0,3366430.69,-8.85,31.08,101.71,13.91,27.699552536010742,135.35708618164062,35.0,19.123750686645508,1426.0
Accipiter virgatus,Accipitridae,Accipitriformes,21.2,7.6,10.2,49.8,167.7,27.4,123.9,117.0,Forest,Carnivore,Vertivore,Generalist,2.0,4398429.71,-8.98,35.61,101.25,22.08,20.5253849029541,341.8505554199219,29.405250549316406,8.64900016784668,1561.0
Aegypius monachus,Accipitridae,Accipitriformes,87.8,27.9,39.8,134.2,734.2,41.1,371.0,9320.6,Forest,Scavenger,Scavenger,Terrestrial,1.0,7718571.19,25.27,54.37,87.87,41.63,7.96750020980835,1205.56884765625,30.395999908447266,-16.865999221801758,79.0
Aquila adalberti,Accipitridae,Accipitriformes,61.2,21.1,31.0,98.4,592.5,39.7,297.0,2958.0,Woodland,Carnivore,Vertivore,Generalist,2.0,131221.76,36.28,41.56,-5.23,39.06,15.641926765441895,638.2736206054688,33.34175109863281,2.601749897003174,501.0
